query,baseline_ms,min_ms,max_ms,faster,speedup,best_row,worst_row,file,regret_spark,regret_pct
q39a,5887.821,5833.837,8325.003,True,1.0092536010176492,3,2,All\q39a.csv,1.0092536010176492,0.925360101764916
q8,2454.402,2389.738,5247.415,True,1.02705903324967,6,1,All\q8.csv,1.02705903324967,2.7059033249670073
q62,2343.625,2279.901,8110.07,True,1.0279503364400473,6,1,All\q62.csv,1.0279503364400473,2.7950336440047296
q33,2672.842,2565.616,5328.833,True,1.0417934718211923,3,1,All\q33.csv,1.0417934718211923,4.179347182119231
q3,1896.274,1818.176,4187.894,True,1.0429540374529198,3,1,All\q3.csv,1.0429540374529198,4.295403745291981
q57,16480.227,15491.579,20556.74,True,1.0638184138621376,3,1,All\q57.csv,1.0638184138621376,6.38184138621376
q83,12572.311,11800.41,19583.5,True,1.0654130661561758,3,1,All\q83.csv,1.0654130661561758,6.541306615617581
q7,5828.559,5465.548,8057.441,True,1.0664180426189653,3,1,All\q7.csv,1.0664180426189653,6.641804261896533
q79,3614.81,3389.4,6699.704,True,1.0665043960582994,3,4,All\q79.csv,1.0665043960582994,6.650439605829939
q59,18106.162,16689.844,26852.793,True,1.0848610688032794,3,1,All\q59.csv,1.0848610688032794,8.486106880327938
q13,5270.771,4826.026,7774.796,True,1.0921555333518718,3,1,All\q13.csv,1.0921555333518718,9.215553335187177
q18,2992.085,2733.602,5959.848,True,1.094557656893725,3,4,All\q18.csv,1.094557656893725,9.455765689372498
q9,113703.058,103598.5,148718.615,True,1.0975357558265806,3,1,All\q9.csv,1.0975357558265806,9.753575582658058
q24a,125785.965,113802.671,138455.644,True,1.1052988817810787,3,1,All\q24a.csv,1.1052988817810787,10.529888178107871
q65,12136.598,10975.216,17825.418,True,1.1058186007455342,3,1,All\q65.csv,1.1058186007455342,10.581860074553418
q31,6725.569,6081.053,11896.376,True,1.1059875649825779,3,1,All\q31.csv,1.1059875649825779,10.598756498257789
q99,3264.774,2936.422,10682.587,True,1.1118204399776326,6,1,All\q99.csv,1.1118204399776326,11.182043997763259
q23b,67023.509,59908.019,75543.542,True,1.1187735818805826,2,1,All\q23b.csv,1.1187735818805826,11.877358188058263
q19,1477.411,1318.714,3181.503,True,1.1203422425180898,2,1,All\q19.csv,1.1203422425180898,12.034224251808979
q75,71741.698,63479.274,77269.502,True,1.130159396592973,6,1,All\q75.csv,1.130159396592973,13.015939659297304
q88,69843.945,61304.338,88298.694,True,1.1392985762279988,3,1,All\q88.csv,1.1392985762279988,13.92985762279988
q77,67489.281,59237.248,64744.236,True,1.139304800250005,6,1,All\q77.csv,1.139304800250005,13.930480025000502
q4,61271.259,53396.877,65638.068,True,1.1474689615274691,3,1,All\q4.csv,1.1474689615274691,14.746896152746913
q14a,66763.694,58178.704,68124.974,True,1.1475624139032043,2,1,All\q14a.csv,1.1475624139032043,14.756241390320435
q64,78571.451,68269.232,83035.65,True,1.1509057403780374,2,1,All\q64.csv,1.1509057403780374,15.090574037803739
q22,10032.663,8717.105,13605.578,True,1.1509168468201314,3,4,All\q22.csv,1.1509168468201314,15.09168468201314
q30,4559.795,3909.942,7858.785,True,1.1662052787483805,3,1,All\q30.csv,1.1662052787483805,16.620527874838054
q89,5217.527,4434.083,10599.255,True,1.1766868143875522,3,1,All\q89.csv,1.1766868143875522,17.66868143875522
q6,5068.143,4272.05,7504.75,True,1.1863491766248053,6,1,All\q6.csv,1.1863491766248053,18.634917662480532
q11,33596.932,28266.492,43763.09,True,1.1885780520624916,3,1,All\q11.csv,1.1885780520624916,18.857805206249157
q66,3869.532,3246.918,6900.003,True,1.1917553815649178,6,1,All\q66.csv,1.1917553815649178,19.17553815649178
q68,2639.052,2197.551,4470.435,True,1.2009059175418455,3,1,All\q68.csv,1.2009059175418455,20.09059175418455
q72,40692.942,33781.136,45539.348,True,1.2046054934327846,4,1,All\q72.csv,1.2046054934327846,20.460549343278455
q50,30520.688,25266.921,45685.722,True,1.2079306378485926,4,2,All\q50.csv,1.2079306378485926,20.793063784859257
q70,6802.672,5631.268,11254.964,True,1.2080178034503064,3,1,All\q70.csv,1.2080178034503064,20.80178034503064
q10,6044.033,4992.398,8496.874,True,1.210647268106429,4,1,All\q10.csv,1.210647268106429,21.06472681064291
q78,46277.551,38179.745,61268.637,True,1.2120969115954021,3,1,All\q78.csv,1.2120969115954021,21.209691159540213
q51,22537.953,18461.272,30314.808,True,1.2208234080511895,3,1,All\q51.csv,1.2208234080511895,22.08234080511895
q17,9234.485,7287.387,12964.184,True,1.2671874020139182,6,1,All\q17.csv,1.2671874020139182,26.71874020139182
q54,4574.957,3607.387,31638.005,True,1.2682190738060541,4,2,All\q54.csv,1.2682190738060541,26.821907380605413
q96,11270.307,8885.457,19449.962,True,1.2683992505956643,6,1,All\q96.csv,1.2683992505956643,26.839925059566426
q5,7209.911,5683.86,12499.566,True,1.2684884919755237,3,1,All\q5.csv,1.2684884919755237,26.848849197552372
q2,5541.094,4360.57,7449.668,True,1.2707269921134166,3,1,All\q2.csv,1.2707269921134166,27.072699211341657
q91,1522.744,1169.573,2439.666,True,1.3019657601534917,3,1,All\q91.csv,1.3019657601534917,30.196576015349173
q82,23766.698,18236.859,61235.235,True,1.3032232140414093,4,2,All\q82.csv,1.3032232140414093,30.32232140414093
q26,1834.376,1403.234,4215.452,True,1.3072488266390354,2,4,All\q26.csv,1.3072488266390354,30.724882663903543
q29,8353.532,6239.786,12212.511,True,1.3387529636433042,4,1,All\q29.csv,1.3387529636433042,33.875296364330424
q76,18722.048,13833.568,24822.842,True,1.3533781017305153,6,1,All\q76.csv,1.3533781017305153,35.33781017305153
q24b,153299.412,113220.864,130143.952,True,1.3539855339736677,3,1,All\q24b.csv,1.3539855339736677,35.39855339736677
q71,1688.765,1245.165,3285.499,True,1.3562580059670808,3,1,All\q71.csv,1.3562580059670808,35.62580059670808
q25,7881.444,5648.036,11944.426,True,1.395430907310081,5,1,All\q25.csv,1.395430907310081,39.5430907310081
q61,1144.558,815.008,2625.767,True,1.4043518591228552,6,1,All\q61.csv,1.4043518591228552,40.43518591228552
q16,16576.925,11622.996,27193.353,True,1.4262179045746897,5,1,All\q16.csv,1.4262179045746897,42.62179045746897
q74,23168.972,16041.095,25655.225,True,1.444351024665087,3,1,All\q74.csv,1.444351024665087,44.4351024665087
q58,15771.691,10833.088,22258.996,True,1.4558813701134894,5,1,All\q58.csv,1.4558813701134894,45.58813701134894
q97,10461.656,7178.12,10457.304,True,1.4574367661727585,2,1,All\q97.csv,1.4574367661727585,45.74367661727585
q44,33590.661,22837.598,38332.465,True,1.4708491234498478,5,1,All\q44.csv,1.4708491234498478,47.08491234498477
q67,47017.159,31770.338,45362.361,True,1.4799074218222041,3,6,All\q67.csv,1.4799074218222041,47.990742182220416
q90,2741.833,1638.074,9694.985,True,1.6738151023702226,6,1,All\q90.csv,1.6738151023702226,67.38151023702225
q69,8901.523,4997.849,8315.838,True,1.7810708166653293,6,1,All\q69.csv,1.7810708166653293,78.10708166653293
q1,15544.155,8655.311,16122.564,True,1.795909471075043,3,1,All\q1.csv,1.795909471075043,79.59094710750429
q92,1623.674,866.112,2888.947,True,1.8746697886647454,4,1,All\q92.csv,1.8746697886647454,87.46697886647455
q85,59277.829,31270.208,37312.525,True,1.8956646850574195,1,4,All\q85.csv,1.8956646850574195,89.56646850574195
q40,12678.682,6600.78,13881.09,True,1.9207854223288765,4,1,All\q40.csv,1.9207854223288765,92.07854223288766
q87,31248.127,14944.136,21820.098,True,2.0909958929709953,3,1,All\q87.csv,2.0909958929709953,109.09958929709953
q93,112145.842,49523.966,62192.674,True,2.2644761932031052,6,1,All\q93.csv,2.2644761932031052,126.44761932031052
q41,1897.943,818.192,2885.611,True,2.3196792439916303,3,1,All\q41.csv,2.3196792439916303,131.96792439916302
q95,49739.451,21108.663,35399.704,True,2.3563525079726744,5,1,All\q95.csv,2.3563525079726744,135.63525079726745
q47,63552.753,23031.915,29440.736,True,2.7593342976474164,4,5,All\q47.csv,2.7593342976474164,175.93342976474165
q49,43339.677,14648.083,32864.607,True,2.958726885968628,5,1,All\q49.csv,2.958726885968628,195.87268859686282
q94,30904.42,7813.277,26158.639,True,3.955372374485123,6,1,All\q94.csv,3.955372374485123,295.5372374485123
q35,31387.155,7681.782,13069.94,True,4.08592107924958,3,1,All\q35.csv,4.08592107924958,308.592107924958
q38,54862.042,10858.904,20022.639,True,5.052263285502846,3,1,All\q38.csv,5.052263285502846,405.2263285502846
q46,28314.79,4920.366,7769.648,True,5.7546105310052145,2,1,All\q46.csv,5.7546105310052145,475.46105310052144
q37,22780.879,3696.185,11626.51,True,6.163349237118814,4,2,All\q37.csv,6.163349237118814,516.3349237118814
q36,29167.646,4207.833,8222.616,True,6.931749905473911,5,1,All\q36.csv,6.931749905473911,593.1749905473911
q23a,67753.136,9188.556,14816.826,True,7.373643475645139,3,4,All\q23a.csv,7.373643475645139,637.3643475645139
q43,19147.835,2448.532,5030.522,True,7.820128550494744,6,1,All\q43.csv,7.820128550494744,682.0128550494744
q80,49972.608,3389.4,52904.137,True,14.743791821561338,3,7,All\q80.csv,14.743791821561338,1374.3791821561338
q42,17478.554,859.063,2448.982,True,20.346067750560785,3,1,All\q42.csv,20.346067750560785,1934.6067750560785
q45,23559.582,984.879,2620.37,True,23.92129591553886,2,1,All\q45.csv,23.92129591553886,2292.129591553886
q21,893.748,2307.207,3971.726,False,0.3873722643872007,3,5,All\q21.csv,0.3873722643872007,-61.262773561279936
q15,872.323,1932.131,4513.668,False,0.45148232702648006,4,2,All\q15.csv,0.45148232702648006,-54.851767297352
q60,2240.28,3286.647,5118.615,False,0.6816308535720448,5,1,All\q60.csv,0.6816308535720448,-31.83691464279552
q12,1615.956,2337.035,4177.581,False,0.6914556264668693,4,2,All\q12.csv,0.6914556264668693,-30.85443735331307
q20,1509.963,2176.436,3712.032,False,0.693777809225725,3,5,All\q20.csv,0.693777809225725,-30.622219077427502
q39b,3410.62,4784.228,7341.446,False,0.7128882653585907,3,1,All\q39b.csv,0.7128882653585907,-28.711173464140927
q34,2428.605,3344.453,6025.747,False,0.7261591058388323,2,1,All\q34.csv,0.7261591058388323,-27.384089416116776
q73,1477.527,1864.614,4364.911,False,0.7924036824779821,2,1,All\q73.csv,0.7924036824779821,-20.75963175220179
q52,872.957,1100.283,2584.306,False,0.7933931543066648,3,1,All\q52.csv,0.7933931543066648,-20.66068456933352
q98,3669.77,4504.789,20589.457,False,0.8146374891254619,1,2,All\q98.csv,0.8146374891254619,-18.536251087453813
q86,1803.091,2113.459,4331.281,False,0.8531469027788096,3,1,All\q86.csv,0.8531469027788096,-14.685309722119044
q56,2260.186,2635.445,4979.853,False,0.8576107640265686,6,1,All\q56.csv,0.8576107640265686,-14.238923597343145
q84,20538.445,22642.136,40808.505,False,0.9070895519751317,4,5,All\q84.csv,0.9070895519751317,-9.291044802486825
q55,775.238,854.55,2574.464,False,0.9071885787841555,3,1,All\q55.csv,0.9071885787841555,-9.281142121584452
q53,4090.679,4457.318,7699.732,False,0.9177444822200256,2,1,All\q53.csv,0.9177444822200256,-8.225551777997442
q32,963.721,1024.288,2919.599,False,0.9408691696085476,3,1,All\q32.csv,0.9408691696085476,-5.913083039145239
q48,7047.38,7425.921,18399.097,False,0.9490243701757667,1,2,All\q48.csv,0.9490243701757667,-5.097562982423332
q63,3664.995,3853.812,8280.223,False,0.9510051346562832,6,1,All\q63.csv,0.9510051346562832,-4.899486534371677
q14b,53058.191,54426.614,83134.968,False,0.9748574658713841,4,6,All\q14b.csv,0.9748574658713841,-2.514253412861589
q28,105040.77,106107.843,118559.239,False,0.9899435049301681,3,1,All\q28.csv,0.9899435049301681,-1.0056495069831861
q81,4645.08,4687.435,8966.015,False,0.9909641413694269,3,1,All\q81.csv,0.9909641413694269,-0.9035858630573101
q27,5746.187,5794.722,9901.826,False,0.991624274641648,3,1,All\q27.csv,0.991624274641648,-0.837572535835196
